chrI	160105	166162
chrII	29644	35602
chrII	220895	226952
chrIII	1179	4322
chrIII	82700	90769
chrIV	512986	520833
chrIV	645502	651980
chrIV	802905	804517
chrIV	871821	884220
chrIV	981171	987125
chrIV	987150	992642
chrIV	1095767	1101692
chrIV	1206704	1212621
chrV	443397	449320
chrV	492695	498421
chrVI	137663	143871
chrVII	535607	541685
chrVII	561843	567760
chrVII	568740	574700
chrVII	707195	712545
chrVII	811447	817397
chrVII	817393	823306
chrVIII	85388	91761
chrVIII	543610	543941
chrIX	205220	210647
chrX	197545	203768
chrX	472463	478384
chrX	478051	483972
chrXII	215080	218907
chrXII	475976	481897
chrXII	593145	599062
chrXII	650824	657365
chrXII	941192	947150
chrXII	976258	981700
chrXIII	184170	190083
chrXIII	196332	202234
chrXIII	357005	362918
chrXIII	372697	378622
chrXIII	503192	504141
chrXIV	96451	102700
chrXIV	519163	525062
chrXIV	561607	567992
chrXV	117703	123628
chrXV	594512	600733
chrXV	704063	710107
chrXV	970286	976244
chrXVI	56452	62375
chrXVI	436890	443112
chrXVI	804645	810562
chrXVI	844412	850340
chrXVI	850629	856554
