chrI	22230	22552
chrI	138831	138992
chrI	160105	166162
chrI	182620	182959
chrI	183142	183474
chrI	189426	189757
chrI	209448	209778
chrII	8848	9518
chrII	29644	35602
chrII	35271	35796
chrII	35851	36221
chrII	197016	197320
chrII	197714	198054
chrII	220895	221370
chrII	221037	226952
chrII	258670	258976
chrII	259578	259909
chrII	259578	266256
chrII	327069	327704
chrII	350459	350751
chrII	643488	644002
chrII	644362	644603
chrIII	1179	4322
chrIII	4073	4322
chrIII	82700	83036
chrIII	83055	83194
chrIII	84069	84718
chrIII	84811	90769
chrIII	90438	90769
chrIII	124134	124465
chrIII	142758	143080
chrIII	149482	149809
chrIII	150220	150551
chrIII	150695	151055
chrIII	151521	151851
chrIII	169573	169888
chrIII	291373	291712
chrIII	291922	292167
chrIII	295003	295330
chrIII	295958	296190
chrIV	434423	434739
chrIV	437149	437518
chrIV	512986	513590
chrIV	513692	520475
chrIV	520477	520833
chrIV	645502	651503
chrIV	651682	651980
chrIV	668096	668436
chrIV	668543	668784
chrIV	802905	803235
chrIV	871821	877779
chrIV	878303	884220
chrIV	945351	945673
chrIV	945955	946295
chrIV	981171	987125
chrIV	987150	992642
chrIV	992740	992815
chrIV	1023137	1023477
chrIV	1095767	1101692
chrIV	1151039	1151368
chrIV	1175134	1175812
chrIV	1175316	1175647
chrIV	1206704	1212621
chrIV	1352644	1353226
chrIV	1518484	1518807
chrV	62081	62756
chrV	99490	99664
chrV	118230	118551
chrV	135612	135939
chrV	137324	137639
chrV	138221	138553
chrV	176705	176856
chrV	249109	249331
chrV	249445	249752
chrV	249930	250270
chrV	287745	288062
chrV	312274	312445
chrV	353399	353735
chrV	354136	354850
chrV	354851	354917
chrV	431490	431822
chrV	434631	434971
chrV	435128	435447
chrV	435946	436605
chrV	442734	443072
chrV	443397	449320
chrV	444834	445139
chrV	448984	449320
chrV	487834	488165
chrV	492695	498421
chrV	551442	551773
chrV	552040	552267
chrV	563928	564024
chrV	568791	569024
chrVI	100581	100901
chrVI	137663	143871
chrVI	143872	143947
chrVI	144203	144822
chrVI	158376	158686
chrVI	161804	162135
chrVI	191685	191854
chrVI	206922	207138
chrVII	838	1079
chrVII	110855	111225
chrVII	111226	111698
chrVII	114939	115269
chrVII	204982	205337
chrVII	318697	318860
chrVII	319009	319341
chrVII	319423	319762
chrVII	320355	320707
chrVII	327904	328224
chrVII	401616	401894
chrVII	401959	402290
chrVII	405004	405145
chrVII	405146	405453
chrVII	412456	412725
chrVII	535211	535542
chrVII	535607	535759
chrVII	535760	541685
chrVII	561843	567760
chrVII	568740	574700
chrVII	701104	701350
chrVII	707195	712545
chrVII	713084	713384
chrVII	735542	735872
chrVII	735982	736322
chrVII	774040	774162
chrVII	778784	779112
chrVII	779116	779515
chrVII	793237	793559
chrVII	811447	817397
chrVII	817393	823306
chrVII	845281	845602
chrVII	875951	876279
chrVII	931171	931540
chrVII	931688	932019
chrVIII	7994	8225
chrVIII	85388	91761
chrVIII	91772	92099
chrVIII	92240	92390
chrVIII	116421	116752
chrVIII	116763	117061
chrVIII	133201	133442
chrVIII	133565	134009
chrVIII	146331	146671
chrVIII	146844	147114
chrVIII	358672	359067
chrVIII	359079	359372
chrVIII	389177	389509
chrVIII	389613	389845
chrVIII	463920	464147
chrVIII	466549	466863
chrVIII	466884	466975
chrVIII	530049	530379
chrVIII	543610	543941
chrIX	196653	197023
chrIX	197140	197488
chrIX	205220	210647
chrIX	246220	246552
chrIX	300409	300727
chrIX	324391	324734
chrIX	324831	325164
chrIX	336708	336897
chrIX	426201	426425
chrX	59505	59784
chrX	197401	197494
chrX	197545	203768
chrX	203783	204114
chrX	354538	355204
chrX	374844	374935
chrX	377598	377870
chrX	416266	416441
chrX	416506	416650
chrX	416899	417026
chrX	421946	422295
chrX	472463	478384
chrX	478051	483972
chrX	517959	518099
chrX	531516	531675
chrX	537741	538041
chrX	538103	538434
chrX	540766	541087
chrX	541095	541427
chrX	543448	543770
chrXI	74236	74518
chrXI	83808	84115
chrXI	162831	163169
chrXI	202644	202983
chrXI	219395	219723
chrXI	302334	302625
chrXI	313602	313919
chrXI	314193	314524
chrXI	458140	458471
chrXI	490286	490416
chrXI	490464	490787
chrXI	513532	513846
chrXI	517453	517784
chrXI	665430	665668
chrXII	92050	92381
chrXII	168043	168380
chrXII	215080	215417
chrXII	220668	221266
chrXII	365810	366144
chrXII	373999	374338
chrXII	448842	449028
chrXII	475976	481897
chrXII	592706	593035
chrXII	593145	599062
chrXII	599268	599544
chrXII	599570	599844
chrXII	650824	657365
chrXII	657449	657767
chrXII	688119	688368
chrXII	688369	688664
chrXII	731668	732000
chrXII	734501	734671
chrXII	793552	793870
chrXII	796899	797088
chrXII	818073	818403
chrXII	941192	947150
chrXII	963230	963545
chrXII	976258	981700
chrXII	1052303	1052632
chrXIII	131989	132321
chrXIII	168349	168681
chrXIII	184170	190083
chrXIII	196332	202234
chrXIII	290049	290224
chrXIII	357005	362918
chrXIII	372697	378622
chrXIII	378727	379061
chrXIII	379072	379198
chrXIII	463128	463461
chrXIII	481214	481547
chrXIII	481571	481808
chrXIII	503192	503389
chrXIII	503771	504141
chrXIII	504346	504677
chrXIII	573112	573338
chrXIII	768548	768879
chrXIII	808537	808906
chrXIII	809000	809233
chrXIII	837450	837764
chrXIV	96451	96609
chrXIV	96610	102523
chrXIV	102632	102700
chrXIV	519163	525062
chrXIV	546423	546714
chrXIV	546738	547077
chrXIV	561607	561977
chrXIV	562033	562364
chrXIV	562364	567660
chrXIV	567660	567992
chrXIV	631998	632114
chrXIV	632119	632489
chrXIV	726234	726574
